university,year,rank_display,score,link,country,city,region,logo,type,research_output,student_faculty_ratio,international_students,size,faculty_count,wikidata_entity,wikidata_country,award,city_id,country_id,region_id,research_output_id
Universidad de Valparaíso (UV),2021,1001,,https://www.topuniversities.com/universities/universidad-de-valparaiso-uv,Chile,Valparaíso,Latin America,https://www.topuniversities.com/sites/default/files/universidad-de-valparaso-uv_592560cf2aeae70239af54e3_small.jpg,Public,Medium,16.0,158,L,"1,014",http://www.wikidata.org/entity/Q1546014,http://www.wikidata.org/entity/Q298,2021:1001,CityValparaisoChile,CountryChile,RegionLatinAmerica,Medium
Universidad del Bío-Bío,2021,1001,,https://www.topuniversities.com/universities/universidad-del-bio-bio,Chile,Concepción,Latin America,https://www.topuniversities.com/sites/default/files/universidad-del-bio-bio_592560cf2aeae70239af5128_small.jpg,Public,High,25.0,91,L,498,http://www.wikidata.org/entity/Q38779,http://www.wikidata.org/entity/Q298,2021:1001,CityConcepcionChile,CountryChile,RegionLatinAmerica,High
Universidad del Desarrollo (UDD),2021,1001,,https://www.topuniversities.com/universities/universidad-del-desarrollo-udd,Chile,Santiago,Latin America,https://www.topuniversities.com/sites/default/files/universidad-del-desarrollo-udd_592560cf2aeae70239af52cd_small.jpg,Private,Medium,15.0,253,L,"1,041",http://www.wikidata.org/entity/Q1778689,http://www.wikidata.org/entity/Q298,2021:1001,CitySantiagoChile,CountryChile,RegionLatinAmerica,Medium
Universidad del Norte ,2021,1001,,https://www.topuniversities.com/universities/universidad-del-norte,Colombia,Barranquilla,Latin America,https://www.topuniversities.com/sites/default/files/universidad-del-norte-_592560cf2aeae70239af54ec_small.jpg,Private,Medium,15.0,80,L,846,http://www.wikidata.org/entity/Q7894343,http://www.wikidata.org/entity/Q739,2021:1001,CityBarranquillaColombia,CountryColombia,RegionLatinAmerica,Medium
Universidad del Pacífico,2021,1001,,https://www.topuniversities.com/universities/universidad-del-pacifico,Peru,Jesús María,Latin America,https://www.topuniversities.com/sites/default/files/UniversidadDelPacifico_200x200-48x48.jpg,Private,Low,23.0,26,S,210,http://www.wikidata.org/entity/Q2636927,http://www.wikidata.org/entity/Q419,2021:1001,CityJesusMariaPeru,CountryPeru,RegionLatinAmerica,Low
Universidad Industrial de Santander - UIS,2021,1001,,https://www.topuniversities.com/universities/universidad-industrial-de-santander-uis,Colombia,Bucaramanga,Latin America,https://www.topuniversities.com/sites/default/files/universidad-industrial-de-santander-uis_592560cf2aeae70239af54f6_small.jpg,Public,Medium,21.0,130,L,922,http://www.wikidata.org/entity/Q1053303,http://www.wikidata.org/entity/Q739,2021:1001,CityBucaramangaColombia,CountryColombia,RegionLatinAmerica,Medium
Universidad Mayor de San Andrés (UMSA),2021,1001,,https://www.topuniversities.com/universities/universidad-mayor-de-san-andres-umsa,Bolivia,La Paz,Latin America,https://www.topuniversities.com/sites/default/files/universidad-mayor-de-san-andrs-umsa_592560cf2aeae70239af561a_small.jpg,Public,Low,31.0,116,XL,"2,617",http://www.wikidata.org/entity/Q3290454,http://www.wikidata.org/entity/Q750,2021:1001,CityLaPazBolivia,CountryBolivia,RegionLatinAmerica,Low
Universidad Metropolitana,2021,1001,,https://www.topuniversities.com/universities/universidad-metropolitana,Venezuela,Caracas,Latin America,https://www.topuniversities.com/sites/default/files/universidad-metropolitana_400_small.jpg,Private,Low,20.0,41,M,275,http://www.wikidata.org/entity/Q7894286,http://www.wikidata.org/entity/Q717,2021:1001,CityCaracasVenezuela,CountryVenezuela,RegionLatinAmerica,Low
Universidad Nacional Agraria la Molina,2021,1001,,https://www.topuniversities.com/universities/universidad-nacional-agraria-la-molina,Peru,Lima,Latin America,https://www.topuniversities.com/sites/default/files/universidad-nacional-agraria-la-molina_592560cf2aeae70239af515c_small.jpg,Public,High,13.0,179,M,608,http://www.wikidata.org/entity/Q3551806,http://www.wikidata.org/entity/Q419,2021:1001,CityLimaPeru,CountryPeru,RegionLatinAmerica,High
Universidad Nacional de la Asunción,2021,1001,,https://www.topuniversities.com/universities/universidad-nacional-de-la-asuncion,Paraguay,San Lorenzo,Latin America,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-la-asuncin_592560cf2aeae70239af5503_small.jpg,Public,Low,12.0,531,XL,"4,304",http://www.wikidata.org/entity/Q2039033,http://www.wikidata.org/entity/Q733,2021:1001,CitySanLorenzoParaguay,CountryParaguay,RegionLatinAmerica,Low
