university,year,rank_display,score,link,country,city,region,logo,type,research_output,student_faculty_ratio,international_students,size,faculty_count,wikidata_entity,wikidata_country,award,city_id,country_id,region_id,research_output_id
Massachusetts Institute of Technology (MIT) ,2017,1,100.0,https://www.topuniversities.com/universities/massachusetts-institute-technology-mit,United States,Cambridge,North America,https://www.topuniversities.com/sites/default/files/massachusetts-institute-of-technology-mit_410_small.jpg,Private,Very High,4.0,"3,730",M,"3,065",http://www.wikidata.org/entity/Q49108,http://www.wikidata.org/entity/Q30,2017:1,CityCambridgeUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
Stanford University,2017,2,98.7,https://www.topuniversities.com/universities/stanford-university,United States,Stanford,North America,https://www.topuniversities.com/sites/default/files/stanford-university_573_small.jpg,Private,Very High,3.0,"3,879",L,"4,725",http://www.wikidata.org/entity/Q41506,http://www.wikidata.org/entity/Q30,2017:2,CityStanfordUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
Harvard University,2017,3,98.3,https://www.topuniversities.com/universities/harvard-university,United States,Cambridge,North America,https://www.topuniversities.com/sites/default/files/harvard-university_253_small.jpg,Private,Very High,5.0,"5,877",L,"4,646",http://www.wikidata.org/entity/Q13371,http://www.wikidata.org/entity/Q30,2017:3,CityCambridgeUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
University of Cambridge,2017,4,97.2,https://www.topuniversities.com/universities/university-cambridge,United Kingdom,Cambridge,Europe,https://www.topuniversities.com/sites/default/files/university-of-cambridge_95_small.jpg,Public,Very high,4.0,"7,925",L,"5,800",http://www.wikidata.org/entity/Q35794,http://www.wikidata.org/entity/Q145,2017:4,CityCambridgeUnitedKingdom,CountryUnitedKingdom,RegionEurope,Veryhigh
California Institute of Technology (Caltech),2017,5,96.9,https://www.topuniversities.com/universities/california-institute-technology-caltech,United States,Pasadena,North America,https://www.topuniversities.com/sites/default/files/california-institute-of-technology-caltech_94_small.jpg,Private,Very High,2.0,692,S,968,http://www.wikidata.org/entity/Q161562,http://www.wikidata.org/entity/Q30,2017:5,CityPasadenaUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
University of Oxford,2017,6,96.8,https://www.topuniversities.com/universities/university-oxford,United Kingdom,Oxford,Europe,https://www.topuniversities.com/sites/default/files/university-of-oxford_478_small.jpg,Public,Very High,3.0,"8,442",L,"6,708",http://www.wikidata.org/entity/Q34433,http://www.wikidata.org/entity/Q145,2017:6,CityOxfordUnitedKingdom,CountryUnitedKingdom,RegionEurope,VeryHigh
UCL,2017,7,95.6,https://www.topuniversities.com/universities/ucl,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/ucl_592560cf2aeae70239af4bf1_small.jpg,Public,Very High,5.0,"21,824",XL,"7,195",http://www.wikidata.org/entity/Q193196,http://www.wikidata.org/entity/Q145,2017:7,CityLondonUnitedKingdom,CountryUnitedKingdom,RegionEurope,VeryHigh
ETH Zurich - Swiss Federal Institute of Technology,2017,8,94.2,https://www.topuniversities.com/universities/eth-zurich-swiss-federal-institute-technology,Switzerland,Zürich,Europe,https://www.topuniversities.com/sites/default/files/eth-zurich-swiss-federal-institute-of-technology_201_small.jpg,Public,Very High,7.0,"7,733",L,"2,719",http://www.wikidata.org/entity/Q11942,http://www.wikidata.org/entity/Q39,2017:8,CityZurichSwitzerland,CountrySwitzerland,RegionEurope,VeryHigh
Imperial College London,2017,9,94.1,https://www.topuniversities.com/universities/imperial-college-london,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/imperial-college-london_592560cf2aeae70239af4be8_small.jpg,Public,Very High,5.0,"11,143",L,"8,000",http://www.wikidata.org/entity/Q189022,http://www.wikidata.org/entity/Q145,2017:9,CityLondonUnitedKingdom,CountryUnitedKingdom,RegionEurope,VeryHigh
University of Chicago,2017,10,93.0,https://www.topuniversities.com/universities/university-chicago,United States,Chicago,North America,https://www.topuniversities.com/sites/default/files/university-of-chicago_120_small.jpg,Private,Very High,6.0,"4,696",L,"2,703",http://www.wikidata.org/entity/Q131252,http://www.wikidata.org/entity/Q30,2017:10,CityChicagoUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
Princeton University,2017,11,92.8,https://www.topuniversities.com/universities/princeton-university,United States,Princeton,North America,https://www.topuniversities.com/sites/default/files/princeton-university_508_small.jpg,Private,Very High,8.0,"1,912",M,"1,050",http://www.wikidata.org/entity/Q21578,http://www.wikidata.org/entity/Q30,2017:11,CityPrincetonUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
National University of Singapore (NUS),2017,12,91.5,https://www.topuniversities.com/universities/national-university-singapore-nus,Singapore,Singapore,Asia,https://www.topuniversities.com/sites/default/files/national-university-of-singapore-nus_443_small.jpg,Public,Very High,7.0,"7,551",XL,"4,288",http://www.wikidata.org/entity/Q738236,http://www.wikidata.org/entity/Q334,2017:12,CitySingaporeSingapore,CountrySingapore,RegionAsia,VeryHigh
"Nanyang Technological University, Singapore (NTU)",2017,13,91.4,https://www.topuniversities.com/universities/nanyang-technological-university-singapore-ntu,Singapore,Singapore,Asia,https://www.topuniversities.com/sites/default/files/nanyang-technological-university-singapore-ntu_592560cf2aeae70239af4c32_small.jpg,Public,Very High,6.0,"6,091",L,"3,812",http://www.wikidata.org/entity/Q721064,http://www.wikidata.org/entity/Q334,2017:13,CitySingaporeSingapore,CountrySingapore,RegionAsia,VeryHigh
EPFL,2017,14,91.1,https://www.topuniversities.com/universities/epfl,Switzerland,Lausanne,Europe,https://www.topuniversities.com/sites/default/files/epfl-ecole-polytechnique-federale-de-lausanne_592560cf2aeae70239af4b34_small.jpg,Public,Very High,6.0,"6,426",M,"1,767",http://www.wikidata.org/entity/Q262760,http://www.wikidata.org/entity/Q39,2017:14,CityLausanneSwitzerland,CountrySwitzerland,RegionEurope,VeryHigh
Yale University,2017,15,90.9,https://www.topuniversities.com/universities/yale-university,United States,New Haven,North America,https://www.topuniversities.com/sites/default/files/yale-university_684_small.jpg,Private,Very High,2.0,"2,537",M,"5,391",http://www.wikidata.org/entity/Q49112,http://www.wikidata.org/entity/Q30,2017:15,CityNewHavenUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
Cornell University,2017,16,90.1,https://www.topuniversities.com/universities/cornell-university,United States,Ithaca,North America,https://www.topuniversities.com/sites/default/files/cornell-university_143_small.jpg,Private,Very High,8.0,"5,675",L,"2,843",http://www.wikidata.org/entity/Q49115,http://www.wikidata.org/entity/Q30,2017:16,CityIthacaUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
Johns Hopkins University,2017,17,89.3,https://www.topuniversities.com/universities/johns-hopkins-university,United States,Baltimore,North America,https://www.topuniversities.com/sites/default/files/johns-hopkins-university_305_small.jpg,Private,Very High,3.0,"5,070",L,"4,855",http://www.wikidata.org/entity/Q193727,http://www.wikidata.org/entity/Q30,2017:17,CityBaltimoreUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
University of Pennsylvania,2017,18,89.0,https://www.topuniversities.com/universities/university-pennsylvania,United States,Philadelphia,North America,https://www.topuniversities.com/sites/default/files/university-of-pennsylvania_495_small.jpg,Private,Very High,4.0,"4,636",L,"5,154",http://www.wikidata.org/entity/Q49117,http://www.wikidata.org/entity/Q30,2017:18,CityPhiladelphiaUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
The University of Edinburgh,2017,19,88.9,https://www.topuniversities.com/universities/university-edinburgh,United Kingdom,Edinburgh,Europe,https://www.topuniversities.com/sites/default/files/the-university-of-edinburgh_180_small.jpg,Public,Very High,7.0,"14,637",XL,"4,832",http://www.wikidata.org/entity/Q160302,http://www.wikidata.org/entity/Q145,2017:19,CityEdinburghUnitedKingdom,CountryUnitedKingdom,RegionEurope,VeryHigh
Columbia University,2017,20,88.6,https://www.topuniversities.com/universities/columbia-university,United States,New York City,North America,https://www.topuniversities.com/sites/default/files/columbia-university_138_small.jpg,Private,Very High,4.0,"11,252",L,"7,087",http://www.wikidata.org/entity/Q49088,http://www.wikidata.org/entity/Q30,2017:20,CityNewYorkCityUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
King's College London,2017,21,87.7,https://www.topuniversities.com/universities/kings-college-london,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/kings-college-london_357_small.jpg,Public,Very High,7.0,"15,075",L,"4,216",http://www.wikidata.org/entity/Q245247,http://www.wikidata.org/entity/Q145,2017:21,CityLondonUnitedKingdom,CountryUnitedKingdom,RegionEurope,VeryHigh
The Australian National University,2017,22,87.3,https://www.topuniversities.com/universities/australian-national-university,Australia,Canberra,Oceania,https://www.topuniversities.com/sites/default/files/the-australian-national-university_40_small.jpg,Public,Very High,9.0,"6,496",L,"1,763",http://www.wikidata.org/entity/Q127990,http://www.wikidata.org/entity/Q408,2017:22,CityCanberraAustralia,CountryAustralia,RegionOceania,VeryHigh
University of Michigan-Ann Arbor,2017,23,86.4,https://www.topuniversities.com/universities/university-michigan-ann-arbor,United States,Ann Arbor,North America,https://www.topuniversities.com/sites/default/files/university-of-michigan_403_small.jpg,Public,Very High,6.0,"7,341",XL,"7,132",http://www.wikidata.org/entity/Q230492,http://www.wikidata.org/entity/Q30,2017:23,CityAnnArborUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
Tsinghua University,2017,24,86.0,https://www.topuniversities.com/universities/tsinghua-university,China (Mainland),Beijing,Asia,https://www.topuniversities.com/sites/default/files/tsinghua-university_626_small.jpg,Public,Very High,6.0,"5,420",XL,"6,174",http://www.wikidata.org/entity/Q16955,http://www.wikidata.org/entity/Q148,2017:24,CityBeijingChina(Mainland),CountryChina(Mainland),RegionAsia,VeryHigh
Duke University,2017,24,86.0,https://www.topuniversities.com/universities/duke-university,United States,Durham,North America,https://www.topuniversities.com/sites/default/files/duke-university_168_small.jpg,Private,Very High,3.0,"3,445",L,"5,673",http://www.wikidata.org/entity/Q168751,http://www.wikidata.org/entity/Q30,2017:24,CityDurhamUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
Northwestern University,2017,26,85.7,https://www.topuniversities.com/universities/northwestern-university,United States,Evanston,North America,https://www.topuniversities.com/sites/default/files/northwestern-university_592560cf2aeae70239af4c50_small.jpg,Private,Very High,5.0,"3,846",L,"3,652",http://www.wikidata.org/entity/Q309350,http://www.wikidata.org/entity/Q30,2017:26,CityEvanstonUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
The University of Hong Kong,2017,27,85.4,https://www.topuniversities.com/universities/university-hong-kong,Hong Kong SAR,Hong Kong,Asia,https://www.topuniversities.com/sites/default/files/the-university-of-hong-kong_268_small.jpg,Public,Very High,7.0,"8,311",L,"2,944",http://www.wikidata.org/entity/Q15568,http://www.wikidata.org/entity/Q8646,2017:27,CityHongKongHongKongSAR,CountryHongKongSAR,RegionAsia,VeryHigh
"University of California, Berkeley (UCB)",2017,28,85.2,https://www.topuniversities.com/universities/university-california-berkeley-ucb,United States,Berkeley,North America,https://www.topuniversities.com/sites/default/files/university-of-california-berkeley-ucb_84_small.jpg,Public,Very High,11.0,"9,428",XL,"3,701",http://www.wikidata.org/entity/Q168756,http://www.wikidata.org/entity/Q30,2017:28,CityBerkeleyUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
The University of Manchester,2017,29,84.8,https://www.topuniversities.com/universities/university-manchester,United Kingdom,Manchester,Europe,https://www.topuniversities.com/sites/default/files/the-university-of-manchester_389_small.jpg,Public,Very High,8.0,"16,079",XL,"4,889",http://www.wikidata.org/entity/Q230899,http://www.wikidata.org/entity/Q145,2017:29,CityManchesterUnitedKingdom,CountryUnitedKingdom,RegionEurope,VeryHigh
McGill University,2017,30,84.1,https://www.topuniversities.com/universities/mcgill-university,Canada,Montreal,North America,https://www.topuniversities.com/sites/default/files/mcgill-university_592560cf2aeae70239af4c10_small.jpg,Public,Very High,7.0,"10,827",L,"3,876",http://www.wikidata.org/entity/Q201492,http://www.wikidata.org/entity/Q16,2017:30,CityMontrealCanada,CountryCanada,RegionNorthAmerica,VeryHigh
"University of California, Los Angeles (UCLA)",2017,31,84.0,https://www.topuniversities.com/universities/university-california-los-angeles-ucla,United States,Los Angeles,North America,https://www.topuniversities.com/sites/default/files/university-of-california-los-angeles-ucla_87_small.jpg,Public,Very High,10.0,"6,140",XL,"4,487",http://www.wikidata.org/entity/Q174710,http://www.wikidata.org/entity/Q30,2017:31,CityLosAngelesUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
University of Toronto,2017,32,83.8,https://www.topuniversities.com/universities/university-toronto,Canada,Toronto,North America,https://www.topuniversities.com/sites/default/files/university-of-toronto_619_small.jpg,Public,Very high,8.0,"27,536",XL,"9,881",http://www.wikidata.org/entity/Q180865,http://www.wikidata.org/entity/Q16,2017:32,CityTorontoCanada,CountryCanada,RegionNorthAmerica,Veryhigh
"Ecole normale supérieure, Paris",2017,33,79.9,https://www.topuniversities.com/universities/ecole-normale-superieure-paris,France,Paris,Europe,https://www.topuniversities.com/sites/default/files/ecole-normale-suprieure-paris_176_small.jpg,Public,Very High,11.0,374,S,178,http://www.wikidata.org/entity/Q135436,http://www.wikidata.org/entity/Q142,2017:33,CityParisFrance,CountryFrance,RegionEurope,VeryHigh
The University of Tokyo,2017,34,82.6,https://www.topuniversities.com/universities/university-tokyo,Japan,Tokyo,Asia,https://www.topuniversities.com/sites/default/files/the-university-of-tokyo_615_small.jpg,Public,Very High,6.0,"3,983",L,"4,473",http://www.wikidata.org/entity/Q7842,http://www.wikidata.org/entity/Q17,2017:34,CityTokyoJapan,CountryJapan,RegionAsia,VeryHigh
Seoul National University,2017,35,82.1,https://www.topuniversities.com/universities/seoul-national-university,South Korea,Seoul,Asia,https://www.topuniversities.com/sites/default/files/graduate-school-of-business-seoul-national-university_553_small.jpg,Public,Very High,7.0,"1,914",L,"3,859",http://www.wikidata.org/entity/Q39913,http://www.wikidata.org/entity/Q884,2017:35,CitySeoulSouthKorea,CountrySouthKorea,RegionAsia,VeryHigh
The Hong Kong University of Science and Technology,2017,36,81.8,https://www.topuniversities.com/universities/hong-kong-university-science-technology,Hong Kong SAR,Hong Kong,Asia,https://www.topuniversities.com/sites/default/files/the-hong-kong-university-of-science-and-technology_269_small.jpg,Public,Very High,8.0,"3,033",M,697,http://www.wikidata.org/entity/Q1333303,http://www.wikidata.org/entity/Q8646,2017:36,CityHongKongHongKongSAR,CountryHongKongSAR,RegionAsia,VeryHigh
Kyoto University,2017,37,81.7,https://www.topuniversities.com/universities/kyoto-university,Japan,Kyoto,Asia,https://www.topuniversities.com/sites/default/files/kyoto-university_328_small.jpg,Public,Very High,6.0,"2,863",L,"3,911",http://www.wikidata.org/entity/Q336264,http://www.wikidata.org/entity/Q17,2017:37,CityKyotoJapan,CountryJapan,RegionAsia,VeryHigh
The London School of Economics and Political Science (LSE),2017,37,81.7,https://www.topuniversities.com/universities/london-school-economics-political-science-lse,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/london-school-of-economics-and-political-science-lse_362_small.jpg,Public,Very High,10.0,"8,274",M,"1,172",http://www.wikidata.org/entity/Q174570,http://www.wikidata.org/entity/Q145,2017:37,CityLondonUnitedKingdom,CountryUnitedKingdom,RegionEurope,VeryHigh
Peking University,2017,39,81.3,https://www.topuniversities.com/universities/peking-university,China (Mainland),Beijing,Asia,https://www.topuniversities.com/sites/default/files/peking-university_50_small.jpg,Public,Very High,6.0,"5,436",XL,"5,302",http://www.wikidata.org/entity/Q16952,http://www.wikidata.org/entity/Q148,2017:39,CityBeijingChina(Mainland),CountryChina(Mainland),RegionAsia,VeryHigh
"University of California, San Diego (UCSD)",2017,40,80.6,https://www.topuniversities.com/universities/university-california-san-diego-ucsd,United States,San Diego,North America,https://www.topuniversities.com/sites/default/files/university-of-california-san-diego-ucsd_89_small.jpg,Public,Very High,8.0,"8,567",XL,"4,545",http://www.wikidata.org/entity/Q622664,http://www.wikidata.org/entity/Q30,2017:40,CitySanDiegoUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
University of Bristol,2017,41,79.6,https://www.topuniversities.com/universities/university-bristol,United Kingdom,Bristol,Europe,https://www.topuniversities.com/sites/default/files/university-of-bristol_69_small.jpg,Public,Very High,8.0,"7,483",L,"20,311",http://www.wikidata.org/entity/Q459506,http://www.wikidata.org/entity/Q145,2017:41,CityBristolUnitedKingdom,CountryUnitedKingdom,RegionEurope,VeryHigh
The University of Melbourne,2017,42,79.5,https://www.topuniversities.com/universities/university-melbourne,Australia,Parkville,Oceania,https://www.topuniversities.com/sites/default/files/the-university-of-melbourne_399_small.jpg,Public,Very high,19.0,"21,406",S,"4,835",http://www.wikidata.org/entity/Q319078,http://www.wikidata.org/entity/Q408,2017:42,CityParkvilleAustralia,CountryAustralia,RegionOceania,Veryhigh
Fudan University,2017,43,79.4,https://www.topuniversities.com/universities/fudan-university,China (Mainland),Shanghai,Asia,https://www.topuniversities.com/sites/default/files/fudan-university_218_small.jpg,Public,Very High,6.0,"5,322",L,"4,526",http://www.wikidata.org/entity/Q495015,http://www.wikidata.org/entity/Q148,2017:43,CityShanghaiChina(Mainland),CountryChina(Mainland),RegionAsia,VeryHigh
The Chinese University of Hong Kong (CUHK),2017,44,78.1,https://www.topuniversities.com/universities/chinese-university-hong-kong-cuhk,Hong Kong SAR,Hong Kong,Asia,https://www.topuniversities.com/sites/default/files/the-chinese-university-of-hong-kong-cuhk_123_small.jpg,Public,Very High,8.0,"6,062",L,"2,201",http://www.wikidata.org/entity/Q15570,http://www.wikidata.org/entity/Q8646,2017:44,CityHongKongHongKongSAR,CountryHongKongSAR,RegionAsia,VeryHigh
University of British Columbia,2017,45,78.0,https://www.topuniversities.com/universities/university-british-columbia,Canada,Vancouver,North America,https://www.topuniversities.com/sites/default/files/university-of-british-columbia_70_small.jpg,Public,Very High,9.0,"15,399",XL,"6,201",http://www.wikidata.org/entity/Q391028,http://www.wikidata.org/entity/Q16,2017:45,CityVancouverCanada,CountryCanada,RegionNorthAmerica,VeryHigh
The University of Sydney,2017,46,77.9,https://www.topuniversities.com/universities/university-sydney,Australia,Sydney,Oceania,https://www.topuniversities.com/sites/default/files/the-university-of-sydney_592560cf2aeae70239af4cd0_small.jpg,Public,Very High,13.0,"25,940",XL,"3,571",http://www.wikidata.org/entity/Q487556,http://www.wikidata.org/entity/Q408,2017:46,CitySydneyAustralia,CountryAustralia,RegionOceania,VeryHigh
New York University (NYU),2017,46,77.9,https://www.topuniversities.com/universities/new-york-university-nyu,United States,New York City,North America,https://www.topuniversities.com/sites/default/files/new-york-university-nyu_448_small.jpg,Private,Very High,6.0,"16,218",XL,"7,874",http://www.wikidata.org/entity/Q49210,http://www.wikidata.org/entity/Q30,2017:46,CityNewYorkCityUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
KAIST - Korea Advanced Institute of Science & Technology,2017,46,77.9,https://www.topuniversities.com/universities/kaist-korea-advanced-institute-science-technology,South Korea,Daejeon,Asia,https://www.topuniversities.com/sites/default/files/kaist-korea-advanced-institute-of-science-technology_324_small.jpg,Public,Very High,8.0,869,M,"1,307",http://www.wikidata.org/entity/Q39949,http://www.wikidata.org/entity/Q884,2017:46,CityDaejeonSouthKorea,CountrySouthKorea,RegionAsia,VeryHigh
The University of New South Wales (UNSW Sydney),2017,49,77.8,https://www.topuniversities.com/universities/university-new-south-wales-unsw-sydney,Australia,Sydney,Oceania,https://www.topuniversities.com/sites/default/files/the-university-of-new-south-wales-unsw-sydney_447_small.jpg,Public,Very High,14.0,"21,603",XL,"3,219",http://www.wikidata.org/entity/Q734764,http://www.wikidata.org/entity/Q408,2017:49,CitySydneyAustralia,CountryAustralia,RegionOceania,VeryHigh
Brown University,2017,49,77.8,https://www.topuniversities.com/universities/brown-university,United States,Providence,North America,https://www.topuniversities.com/sites/default/files/brown-university_72_small.jpg,Private,Very High,7.0,"2,002",M,"1,389",http://www.wikidata.org/entity/Q49114,http://www.wikidata.org/entity/Q30,2017:49,CityProvidenceUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
The University of Queensland,2017,51,77.6,https://www.topuniversities.com/universities/university-queensland,Australia,Brisbane,Oceania,https://www.topuniversities.com/sites/default/files/the-university-of-queensland_515_small.jpg,Public,Very High,12.0,"22,241",XL,"3,513",http://www.wikidata.org/entity/Q866012,http://www.wikidata.org/entity/Q408,2017:51,CityBrisbaneAustralia,CountryAustralia,RegionOceania,VeryHigh
The University of Warwick,2017,51,77.6,https://www.topuniversities.com/universities/university-warwick,United Kingdom,Coventry,Europe,https://www.topuniversities.com/sites/default/files/the-university-of-warwick_664_small.jpg,Public,Very High,9.0,"10,459",L,"2,634",http://www.wikidata.org/entity/Q865528,http://www.wikidata.org/entity/Q145,2017:51,CityCoventryUnitedKingdom,CountryUnitedKingdom,RegionEurope,VeryHigh
University of Wisconsin-Madison,2017,53,75.7,https://www.topuniversities.com/universities/university-wisconsin-madison,United States,Madison,North America,https://www.topuniversities.com/sites/default/files/university-of-wisconsin-madison_678_small.jpg,Public,Very High,8.0,"5,737",XL,"5,166",http://www.wikidata.org/entity/Q838330,http://www.wikidata.org/entity/Q30,2017:53,CityMadisonUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
Ecole Polytechnique,2017,53,69.9,https://www.topuniversities.com/universities/ecole-polytechnique,France,Palaiseau,Europe,https://www.topuniversities.com/sites/default/files/ecole-polytechnique_592560cf2aeae70239af4b36_small.jpg,Public,Very High,5.0,"1,248",S,633,http://www.wikidata.org/entity/Q273626,http://www.wikidata.org/entity/Q142,2017:53,CityPalaiseauFrance,CountryFrance,RegionEurope,VeryHigh
City University of Hong Kong,2017,55,75.4,https://www.topuniversities.com/universities/city-university-hong-kong,Hong Kong SAR,Hong Kong,Asia,https://www.topuniversities.com/sites/default/files/city-university-of-hong-kong_592560cf2aeae70239af4b05_small.jpg,Public,Very High,6.0,"5,331",M,"1,483",http://www.wikidata.org/entity/Q787360,http://www.wikidata.org/entity/Q8646,2017:55,CityHongKongHongKongSAR,CountryHongKongSAR,RegionAsia,VeryHigh
Tokyo Institute of Technology (Tokyo Tech),2017,56,74.9,https://www.topuniversities.com/universities/tokyo-institute-technology-tokyo-tech,Japan,Tokyo,Asia,https://www.topuniversities.com/sites/default/files/tokyo-institute-of-technology_592560cf2aeae70239af4ceb_small.jpg,Public,Very High,7.0,"1,622",M,"1,492",http://www.wikidata.org/entity/Q587326,http://www.wikidata.org/entity/Q17,2017:56,CityTokyoJapan,CountryJapan,RegionAsia,VeryHigh
University of Amsterdam,2017,57,74.3,https://www.topuniversities.com/universities/university-amsterdam,Netherlands,Amsterdam,Europe,https://www.topuniversities.com/sites/default/files/university-of-amsterdam_18_small.jpg,Public,Very High,11.0,"7,969",XL,"6,000",http://www.wikidata.org/entity/Q214341,http://www.wikidata.org/entity/Q29999,2017:57,CityAmsterdamNetherlands,CountryNetherlands,RegionEurope,VeryHigh
Carnegie Mellon University,2017,58,74.2,https://www.topuniversities.com/universities/carnegie-mellon-university,United States,Pittsburgh,North America,https://www.topuniversities.com/sites/default/files/carnegie-mellon-university_101_small.jpg,Private,Very High,9.0,"5,739",L,"1,534",http://www.wikidata.org/entity/Q190080,http://www.wikidata.org/entity/Q30,2017:58,CityPittsburghUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
University of Washington,2017,59,73.9,https://www.topuniversities.com/universities/university-washington,United States,Seattle,North America,https://www.topuniversities.com/sites/default/files/university-of-washington_592560cf2aeae70239af4d1e_small.jpg,Public,Very High,15.0,"7,362",XL,"2,796",http://www.wikidata.org/entity/Q219563,http://www.wikidata.org/entity/Q30,2017:59,CitySeattleUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
Technical University of Munich,2017,60,72.4,https://www.topuniversities.com/universities/technical-university-munich,Germany,Munich,Europe,https://www.topuniversities.com/sites/default/files/technical-university-of-munich_599_small.jpg,Public,Very High,5.0,"11,447",XL,"6,663",http://www.wikidata.org/entity/Q157808,http://www.wikidata.org/entity/Q183,2017:60,CityMunichGermany,CountryGermany,RegionEurope,VeryHigh
Shanghai Jiao Tong University,2017,61,72.2,https://www.topuniversities.com/universities/shanghai-jiao-tong-university,China (Mainland),Shanghai,Asia,https://www.topuniversities.com/sites/default/files/shanghai-jiao-tong-university_556_small.jpg,Public,Very High,9.0,"6,371",XL,"4,386",http://www.wikidata.org/entity/Q525169,http://www.wikidata.org/entity/Q148,2017:61,CityShanghaiChina(Mainland),CountryChina(Mainland),RegionAsia,VeryHigh
Delft University of Technology,2017,62,72.1,https://www.topuniversities.com/universities/delft-university-technology,Netherlands,Delft,Europe,https://www.topuniversities.com/sites/default/files/delft-university-of-technology_155_small.jpg,Public,Very High,10.0,"6,104",L,"2,041",http://www.wikidata.org/entity/Q752663,http://www.wikidata.org/entity/Q29999,2017:62,CityDelftNetherlands,CountryNetherlands,RegionEurope,VeryHigh
Osaka University,2017,63,71.7,https://www.topuniversities.com/universities/osaka-university,Japan,Osaka City,Asia,https://www.topuniversities.com/sites/default/files/osaka-university_472_small.jpg,Public,Very High,7.0,"2,268",L,"3,127",http://www.wikidata.org/entity/Q651233,http://www.wikidata.org/entity/Q17,2017:63,CityOsakaCityJapan,CountryJapan,RegionAsia,VeryHigh
University of Glasgow,2017,63,71.7,https://www.topuniversities.com/universities/university-glasgow,United Kingdom,Glasgow,Europe,https://www.topuniversities.com/sites/default/files/university-of-glasgow_592560cf2aeae70239af4b6c_small.jpg,Public,Very High,9.0,"11,065",L,"3,314",http://www.wikidata.org/entity/Q192775,http://www.wikidata.org/entity/Q145,2017:63,CityGlasgowUnitedKingdom,CountryUnitedKingdom,RegionEurope,VeryHigh
Monash University,2017,65,71.6,https://www.topuniversities.com/universities/monash-university,Australia,Melbourne,Oceania,https://www.topuniversities.com/sites/default/files/monash-university_412_small.jpg,Public,Very High,15.0,"31,049",XL,"3,852",http://www.wikidata.org/entity/Q598841,http://www.wikidata.org/entity/Q408,2017:65,CityMelbourneAustralia,CountryAustralia,RegionOceania,VeryHigh
University of Illinois at Urbana-Champaign,2017,66,71.4,https://www.topuniversities.com/universities/university-illinois-urbana-champaign,United States,Champaign,North America,https://www.topuniversities.com/sites/default/files/university-of-illinois-at-urbana-champaign_2090_small.jpg,Public,Very High,17.0,"9,987",XL,"2,748",http://www.wikidata.org/entity/Q457281,http://www.wikidata.org/entity/Q30,2017:66,CityChampaignUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
University of Texas at Austin,2017,67,70.7,https://www.topuniversities.com/universities/university-texas-austin,United States,Austin,North America,https://www.topuniversities.com/sites/default/files/university-of-texas-at-austin_604_small.jpg,Public,Very High,17.0,"4,953",XL,"2,887",http://www.wikidata.org/entity/Q49213,http://www.wikidata.org/entity/Q30,2017:67,CityAustinUnitedStates,CountryUnitedStates,RegionNorthAmerica,VeryHigh
Ludwig-Maximilians-Universität München,2017,68,70.2,https://www.topuniversities.com/universities/ludwig-maximilians-universitat-munchen,Germany,Munich,Europe,https://www.topuniversities.com/sites/default/files/ludwig-maximilians-universitt-mnchen_420_small.jpg,Public,Very High,9.0,"5,958",XL,"3,914",http://www.wikidata.org/entity/Q55044,http://www.wikidata.org/entity/Q183,2017:68,CityMunichGermany,CountryGermany,RegionEurope,VeryHigh
